"","NO","Kode","kabupaten","Res_tlbofgwc$cluster"
"430",430,7408,"Kolaka Utara",2
"431",431,7409,"Buton Utara",3
"432",432,7410,"Konawe Utara",3
"433",433,7411,"Kolaka Timur",2
"434",434,7412,"Konawe Kepulauan",3
"435",435,7471,"Kota Kendari",2
"436",436,7472,"Kota Baubau",2
"437",437,7501,"Boalemo",1
"438",438,7502,"Gorontalo",1
"439",439,7503,"Pohuwato",1
"440",440,7504,"Bone Bolango",1
"441",441,7505,"Gorontalo Utara",1
"442",442,7571,"Kota Gorontalo",2
"443",443,7601,"Majene",3
"444",444,7602,"Polewali Mandar",1
"445",445,7603,"Mamasa",3
"446",446,7604,"Mamuju",1
"447",447,7605,"Mamuju Utara",1
"448",448,7606,"Mamuju Tengah",1
"449",449,8101,"Maluku Tenggara Barat",3
"450",450,8102,"Maluku Tenggara",3
"451",451,8103,"Maluku Tengah",2
"452",452,8104,"Buru",3
"453",453,8105,"Kepulauan Aru",1
"454",454,8106,"Seram Bagian Barat",3
"455",455,8107,"Seram Bagian Timur",3
"456",456,8108,"Maluku Barat Daya",1
"457",457,8109,"Buru Selatan",3
"458",458,8171,"Kota Ambon",2
"459",459,8172,"Kota Tual",3
"460",460,8201,"Halmahera Barat",1
"461",461,8202,"Halmahera Tengah",3
"462",462,8203,"Kepulauan Sula",2
"463",463,8204,"Halmahera Selatan",1
"464",464,8205,"Halmahera Utara",2
"465",465,8206,"Halmahera Timur",1
"466",466,8207,"Pulau Morotai",1
"467",467,8208,"Pulau Taliabu",1
"468",468,8271,"Kota Ternate",2
"469",469,8272,"Kota Tidore Kepulauan",2
"470",470,9101,"Fakfak",2
"471",471,9102,"Kaimana",1
"472",472,9103,"Teluk Wondama",1
"473",473,9104,"Teluk Bintuni",1
"474",474,9105,"Manokwari",3
"475",475,9106,"Sorong Selatan",3
"476",476,9107,"Sorong",3
"477",477,9108,"Raja Ampat",3
"478",478,9109,"Tambrauw",3
"479",479,9110,"Maybrat",3
"480",480,9111,"Manokwari Selatan",3
"481",481,9112,"Pegunungan Arfak",1
"482",482,9171,"Kota Sorong",4
"483",483,9401,"Merauke",1
"484",484,9402,"Jayawijaya",1
"485",485,9403,"Jayapura",2
"486",486,9404,"Nabire",3
"487",487,9408,"Kepulauan Yapen",4
