NO;Kode;kabupaten;Res_fpafgwc$cluster
299;5307;Alor;3
300;5308;Lembata;3
301;5309;Flores Timur;3
302;5310;Sikka;3
303;5311;Ende;3
304;5312;Ngada;3
305;5313;Manggarai;3
306;5314;Rote Ndao;1
307;5315;Manggarai Barat;1
308;5316;Sumba Tengah;1
309;5317;Sumba Barat Daya;1
310;5318;Nagekeo;3
311;5319;Manggarai Timur;3
312;5320;Sabu Raijua;1
313;5321;Malaka;1
314;5371;Kota Kupang;3
315;6101;Sambas;3
316;6102;Bengkayang;3
317;6103;Landak;1
318;6104;Mempawah;3
319;6105;Sanggau;3
320;6106;Ketapang;3
321;6107;Sintang;3
322;6108;Kapuas Hulu;2
323;6109;Sekadau;3
324;6110;Melawi;1
325;6111;Kayong Utara;3
326;6112;Kubu Raya;3
327;6171;Kota Pontianak;3
328;6172;Kota Singkawang;3
329;6201;Kotawaringin Barat;3
330;6202;Kotawaringin Timur;3
331;6203;Kapuas;3
332;6204;Barito Selatan;3
333;6205;Barito Utara;3
334;6206;Sukamara;3
335;6207;Lamandau;3
336;6208;Seruyan;3
337;6209;Katingan;3
338;6210;Pulang Pisau;3
339;6211;Gunung Mas;3
340;6212;Barito Timur;3
341;6213;Murung Raya;3
342;6271;Kota Palangka Raya;3
343;6301;Tanah Laut;3
344;6302;Kota Baru;3
345;6303;Banjar;3
346;6304;Barito Kuala;3
347;6305;Tapin;3
348;6306;Hulu Sungai Selatan;3
349;6307;Hulu Sungai Tengah;3
350;6308;Hulu Sungai Utara;3
351;6309;Tabalong;3
352;6310;Tanah Bumbu;3
353;6311;Balangan;3
354;6371;Kota Banjarmasin;4
355;6372;Kota Banjar Baru;3
356;6401;Paser;3
357;6402;Kutai Barat;3
358;6403;Kutai Kartanegara;3
359;6404;Kutai Timur;3
360;6405;Berau;3
361;6409;Penajam Paser Utara;3
362;6411;Mahakam Hulu;3
363;6471;Kota Balikpapan;4
364;6472;Kota Samarinda;4
365;6474;Kota Bontang;4
366;6501;Malinau;3
367;6502;Bulungan;3
368;6503;Tana Tidung;3
369;6504;Nunukan;3
370;6571;Kota Tarakan;3
371;7101;Bolaang Mongondow;3
372;7102;Minahasa;3
373;7103;Kepulauan Sangihe;2
374;7104;Kepulauan Talaud;3
375;7105;Minahasa Selatan;3
376;7106;Minahasa Utara;3
377;7107;Bolaang Mongondow Utara;2
378;7108;Siau Tagulandang Biaro;3
379;7109;Minahasa Tenggara;3
380;7110;Bolaang Mongondow Selatan;2
381;7111;Bolaang Mongondow Timur;3
382;7171;Kota Manado;3
383;7172;Kota Bitung;3
384;7173;Kota Tomohon;3
385;7174;Kota Kotamobagu;3
386;7201;Banggai Kepulauan;2
387;7202;Banggai;3
388;7203;Morowali;3
389;7204;Poso;2
390;7205;Donggala;2
391;7206;Toli-toli;2
392;7207;Buol;2
393;7208;Parigi Moutong;3
394;7209;Tojo Una-una;2
395;7210;Sigi;2
396;7211;Banggai Laut;2
397;7212;Morowali Utara;2
398;7271;Kota Palu;3
399;7301;Kepulauan Selayar;2
400;7302;Bulukumba;3
401;7303;Bantaeng;3
402;7304;Jeneponto;2
403;7305;Takalar;3
404;7306;Gowa;3
405;7307;Sinjai;3
406;7308;Maros;3
407;7309;Pangkajene Dan Kepulauan;3
408;7310;Barru;3
409;7311;Bone;3
410;7312;Soppeng;3
411;7313;Wajo;3
412;7314;Sidenreng Rappang;3
413;7315;Pinrang;3
414;7316;Enrekang;2
415;7317;Luwu;2
416;7318;Tana Toraja;3
417;7322;Luwu Utara;3
418;7325;Luwu Timur;2
419;7326;Toraja Utara;3
420;7371;Kota Makassar;4
